Startup,URL,Business Description,"Funding 
Round","Total 
funding (US$)",Opportunity Space,,Founded,Country
Quincus,http://www.quincus.com,"data intelligence platform with its Enterprise API’s allows ground providers, port operators and airlines to maintain visibility over its logistics inflows and outflows",,,Container logistics optimisation,,2014,Singapore
Freight Farms,http://www.freightfarms.com,"Founded in 2013 in Boston, Freight Farms patented technology gives organizations the opportunity to participate in the fast-growing local food market",Seed,"11,400,000",Retrofitting existing vessels with green tech,,2013,USA
Loginno,https://loginno.com,"Loginno is creating Contopia (Container Utopia), the world’s Internet-of-Shipping-Containers infrastructure, by partnering with shipping companies to convert entire container fleets to IoT-enabled fleets, mining cargo and voyage data through a patented low-cost device.",Seed,"100,000",End-to-end supply chain transparency,,2014,England
Cloudleaf,https://www.cloudleaf.com,"Cloudleaf’s mission is to create significant value across the end-to-end supply chain network from supplier to manufacturing to distribution by dramatically increasing visibility of asset movement, location and condition.",Series B,"39,000,000",End-to-end supply chain transparency,,2014,USA
Traxens,http://www.traxens.com,"TRAXENS delivers the world's most exhaustive, precise and timely information on containers and container transporters allowing all stakeholders in multi-modal transport to improve costs, optimize investment, and offer premium services.",Series C,"23,600,000",Container logistics optimisation,,2012,France
Container X change,https://container-xchange.com/,Find SOC containers for one-way use and identify partners that move your containers to where you really need them.,Undisclosed,,Container logistics optimisation,,2015,Germany
Shone,http://shone.com,MAKING THE WORLD’S SHIPPING LEADERS SAFER AND GREENER.,Seed,"4,200,000",End-to-end supply chain transparency,,2017,USA
Maindeck,https://www.maindeck.io,"increase team efficiency with a tool designed to minimise friction between tasks, heavily reducing unforeseen costs and time spent at the yard",Undisclosed,,Automated port infrastructure,,2016,Norway
Octopi,https://octopi.co,"a modern, web-based Terminal Operating System ",Acquired,,Port configuration and planning,,2015,USA
Ocean Insights,http://www.ocean-insights.com,"Ocean Insights is a leading ocean supply chain visibility and market intelligence provider from Germany with offices in the US, India, Spain and Hong Kong that supplies real-time tracking data and market analysis to large shippers from a broad range of industries, including automotive manufacturing, commodity trading, freight forwarding and chemical producing. ",Undisclosed,,End-to-end supply chain transparency,,2012,Germany
T-Mining,https://t-mining.be/,"offers a Decentralized Technologies Framework (DTF), to build decentralized applications (dApps) fast and cost-efficiently - leveraging reusable functionality - and to set up and run decentralized platforms more easily",,,Port bottleneck optimisation,,2016,Belgium
Claritecs,http://claritecs.com/,Claritecs is a maritime solutions startup that leverages a foundation of maritime expertise to develop digital applications for decision-makers in shipping operations and commercial management.,Seed,"600,000",Data audit & standardisation,,2017,Singapore
VISUALIZ,http://visualiz.io/,"virtual reality enterprise platform for collaboration, data visualization, and business intelligence",Undisclosed,,Digital twin of port,,2017,Norway
norsepower,http://www.norsepower.com,"Our mission is to reduce the environmental impact of shipping by providing efficient, easy to use and reliable auxiliary wind propulsion for ships. ",Seed,"20,400,000",Retrofitting existing vessels with green tech,,2012,Finland
Skeleton Technologies,https://www.skeletontech.com/maritime,"Skeleton Technologies is the global technology leader in ultracapacitor energy storage in automotive, transportation, grid, and industrial applications",Series C,"51,000,000",Retrofitting existing vessels with green tech,,2009,Estonia
Freightos,https://www.freightos.com/,Bringing Global Freight Online,Series C,"94,440,000",Intelligent freight price discovery,,2012,USA
Staxxon,http://staxxon.com/,Improved cargo capacity by innovative container design (fold and nest).,Seed,"2,500,000",Container logistics optimisation,,2010,USA
Samsara,https://www.samsara.com/industrial/cold-chain,Proactively prevent spoilage with alerts about temperatures that are out of range.Pinpoint the cause of delays and improve on-time performance with route analytics and live tracking.,Series F,"530,000,000",Time Sensitive Transport,,2015,USA
Shipamax,https://shipamax.com/freight-forwarders,"Shipamax aims to consolidate the varied forms of communication that brokers and customers use today, reducing paperwork and costs and increasing efficiency, transparency, and data security.",Series A,"9,500,000",Paperwork simplification/reduction,,2016,England
Shipsta,https://www.shipsta.com/,Stop the excel mania now and simplify the management of the freight rates. ,Undisclosed,,Paperwork simplification/reduction,,2015,Luxembourg
NYSHEX,https://www.nyshex.com/,"Enter origin and destination, ship dates and equipment type, then instantly view binding offers directly from carriers along with service performance and all the details needed to make an informed decision.",Series A,"13,000,000",Intelligent freight price discovery,,2014,USA
HawkEye 360,https://www.he360.com/,"HawkEye360 is a Virginia-based startup that plans to launch small satellites into space that will use radio frequency technology to aggregate geospatial data on global maritime shipping activity. It provides this data as a service to shipping operators, for increased fleet location transparency.",Series B,"99,300,000",Port cybersecurity,,2015,USA
Roambee,https://www.roambee.com/multimodal-shipment-tracking/,"Roambee delivers enterprise-class IoT with on-demand, worldwide real-time location & condition monitoring for shipments and in-field assets.",Series B,"25,400,000",End-to-end supply chain transparency,,2014,USA
Vecna Robotics,https://www.vecnarobotics.com/solutions/automated-material-handling/,Autonomous vehicles for material transport produce more efficient workflows with minimal overhead.,Series B,"63,500,000",Automated port infrastructure,,2018,USA
